Project Name: testA, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.8983166813850403,testA_v5.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v5.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8404324650764465,testA_v0_ALTmodif_a1.20_b47.00_g2.15.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8227902054786682,testA_v2_ALTmodif_a2.00_b47.00_g0.50.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v5.jpg
5,car,,,0.5318298935890198,testA_v2_ALTmodif_a2.00_b47.00_g0.50.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7860760927200318,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,


Project Name: testA, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9017929434776306,testA_v9_ALTmodif_a1.50_b18.00_g1.70.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v10.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8562433123588562,testA_v7_ALTmodif_a1.80_b-55.00_g2.25.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8426005840301514,testA_v6_ALTmodif_a1.55_b45.00_g0.50.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v10.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7938955903053284,
New Detections,,,0.0,0.0,
Number of Detections,,5,5.0,5.0,


Project Name: testA, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9054436087608337,testA_v5_ALTmodif_a0.80_b-4.00_g1.70.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8341701030731201,testA_v2_ALTmodif_a2.50_b-3.00_g1.50.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8411465287208557,testA_v1_ALTmodif_a1.35_b9.00_g0.65.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8214532732963562,testA_v4_ALTmodif_a1.75_b1.00_g0.60.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v15.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7885839462280273,
New Detections,,,0.0,0.0,
Number of Detections,,5,5.0,5.0,


Project Name: testA, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.90251624584198,testA_v16_ALTmodif_a1.30_b42.00_g1.60.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8297247886657715,testA_v16_ALTmodif_a1.30_b42.00_g1.60.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8565973043441772,testA_v16_ALTmodif_a1.30_b42.00_g1.60.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8363523483276367,testA_v3_ALTmodif_a1.60_b37.00_g0.95.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v20.jpg
5,car,,,0.6076005697250366,testA_v15_ALTmodif_a2.15_b-58.00_g3.15.jpg
6,truck,,,0.5288509130477905,testA_v15_ALTmodif_a2.15_b-58.00_g3.15.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7931793808937073,
New Detections,,,0,2.0,
Number of Detections,,5,5,7.0,


Project Name: testA, N: 25
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9068986773490906,testA_v6_ALTmodif_a1.25_b27.00_g3.40.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8316357731819153,testA_v15_ALTmodif_a2.05_b30.00_g0.90.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8522573709487915,testA_v6_ALTmodif_a1.25_b27.00_g3.40.jpg
3,car,0.7694330215454102,0.8417007923126221,0.845736026763916,testA_v0_ALTmodif_a1.45_b47.00_g0.70.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v25.jpg
5,car,,,0.6179296970367432,testA_v16_ALTmodif_a2.20_b-35.00_g3.45.jpg
6,truck,,,0.5185025930404663,testA_v20_ALTmodif_a2.20_b-50.00_g2.80.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7954468131065369,
New Detections,,,0,2.0,
Number of Detections,,5,5,7.0,


Project Name: testA, N: 30
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9134674072265625,testA_v7_ALTmodif_a1.10_b2.00_g2.30.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8392353653907776,testA_v14_ALTmodif_a2.25_b22.00_g1.05.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8732842803001404,testA_v3_ALTmodif_a1.40_b-59.00_g2.35.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8215398788452148,testA_v9_ALTmodif_a1.70_b27.00_g1.65.jpg
4,car,0.534579336643219,0.534579336643219,0.540754497051239,testA_v27_ALTmodif_a1.05_b24.00_g1.65.jpg
5,car,,,0.5262331366539001,testA_v2_ALTmodif_a1.45_b-48.00_g2.30.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7976562857627869,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,


Project Name: testA, N: 35
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.907953143119812,testA_v33_ALTmodif_a1.20_b-13.00_g2.90.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8286852240562439,testA_v1_ALTmodif_a0.90_b59.00_g2.10.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8582741618156433,testA_v32_ALTmodif_a1.45_b16.00_g3.00.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8267268538475037,testA_v34_ALTmodif_a1.85_b25.00_g0.65.jpg
4,car,0.534579336643219,0.534579336643219,0.549000084400177,testA_v1_ALTmodif_a0.90_b59.00_g2.10.jpg
5,car,,,0.6128614544868469,testA_v9_ALTmodif_a1.90_b-42.00_g3.45.jpg
6,person,,,0.510628879070282,testA_v12_ALTmodif_a0.85_b-1.00_g0.85.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7941278934478759,
New Detections,,,0,2.0,
Number of Detections,,5,5,7.0,


Project Name: testA, N: 40
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9108282327651978,testA_v25_ALTmodif_a1.10_b20.00_g3.40.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v40.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8761778473854065,testA_v32_ALTmodif_a1.10_b-47.00_g2.05.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8236634135246277,testA_v12_ALTmodif_a1.35_b46.00_g1.65.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v40.jpg
5,car,,,0.6564032435417175,testA_v13_ALTmodif_a1.95_b-50.00_g2.70.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7959021210670472,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,


Project Name: testA, N: 45
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9177272319793701,testA_v25_ALTmodif_a0.80_b23.00_g2.85.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8314008116722107,testA_v10_ALTmodif_a1.15_b49.00_g1.60.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8558153510093689,testA_v23_ALTmodif_a1.35_b39.00_g0.95.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8212337493896484,testA_v19_ALTmodif_a1.95_b28.00_g0.70.jpg
4,car,0.534579336643219,0.534579336643219,0.5583251118659973,testA_v26_ALTmodif_a1.10_b-25.00_g1.10.jpg
5,car,,,0.5885931253433228,testA_v5_ALTmodif_a2.00_b-48.00_g2.55.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7969004511833191,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,


Project Name: testA, N: 50
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9182490110397339,testA_v2_ALTmodif_a0.85_b30.00_g2.95.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8329697847366333,testA_v1_ALTmodif_a0.75_b40.00_g1.10.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8529815673828125,testA_v47_ALTmodif_a1.15_b24.00_g3.00.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8223934173583984,testA_v43_ALTmodif_a1.60_b13.00_g1.60.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v50.jpg
5,car,,,0.5234391689300537,testA_v7_ALTmodif_a1.85_b-14.00_g3.00.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7934599995613099,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,


Project Name: testA, N: 55
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9079676866531372,testA_v11_ALTmodif_a1.10_b17.00_g2.45.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8377947807312012,testA_v10_ALTmodif_a2.00_b38.00_g1.25.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8596806526184082,testA_v37_ALTmodif_a1.25_b-54.00_g1.70.jpg
3,car,0.7694330215454102,0.8417007923126221,0.8101369142532349,testA_v34_ALTmodif_a1.75_b53.00_g1.05.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v55.jpg
5,car,,,0.5688532590866089,testA_v46_ALTmodif_a2.25_b-57.00_g2.90.jpg
6,truck,,,0.5143650770187378,testA_v46_ALTmodif_a2.25_b-57.00_g2.90.jpg
7,person,,,0.5087516903877258,testA_v25_ALTmodif_a2.75_b50.00_g2.60.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7912572503089905,
New Detections,,,0,3.0,
Number of Detections,,5,5,8.0,


Project Name: testA, N: 60
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9165566563606262,testA_v0_ALTmodif_a0.75_b42.00_g3.10.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8362656831741333,testA_v32_ALTmodif_a0.75_b39.00_g1.55.jpg
