Project Name: testA, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9125108122825623,testA_v2_ALTmodif_a1.00_b11.00_g3.20.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v5.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8426999449729919,testA_v2_ALTmodif_a1.00_b11.00_g3.20.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7678127884864807,testA_v5.jpg
4,car,0.534579336643219,0.534579336643219,0.540706217288971,testA_v5.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7783729314804078,
New Detections,,,0.0,0.0,
Number of Detections,,5,5.0,5.0,


Project Name: testA, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9070208668708801,testA_v4_ALTmodif_a1.00_b-13.00_g2.05.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8357486128807068,testA_v3_ALTmodif_a1.00_b31.00_g1.20.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8455531597137451,testA_v1_ALTmodif_a1.00_b-49.00_g1.35.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7725018262863159,testA_v8_ALTmodif_a1.00_b7.00_g0.80.jpg
4,car,0.534579336643219,0.534579336643219,0.5458025932312012,testA_v0_ALTmodif_a1.00_b12.00_g2.10.jpg
5,car,,,0.5129956603050232,testA_v2_ALTmodif_a1.00_b-6.00_g3.10.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7813254117965698,
New Detections,,,0,1.0,
Number of Detections,,5,5,6.0,


Project Name: testA, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9111477136611938,testA_v1_ALTmodif_a1.00_b-9.00_g2.70.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8306553363800049,testA_v7_ALTmodif_a1.00_b13.00_g1.40.jpg
2,car,0.8000279068946838,0.8442996740341187,0.877037525177002,testA_v13_ALTmodif_a1.00_b-42.00_g1.75.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7748468518257141,testA_v5_ALTmodif_a1.00_b-4.00_g0.60.jpg
4,car,0.534579336643219,0.534579336643219,0.558925211429596,testA_v7_ALTmodif_a1.00_b13.00_g1.40.jpg
Mean Confidence,,0.7653310894966125,0.773444938659668,0.7905225276947021,
New Detections,,,0.0,0.0,
Number of Detections,,5,5.0,5.0,


Project Name: testA, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8965595364570618,0.8965595364570618,0.9143025279045105,testA_v11_ALTmodif_a1.00_b16.00_g3.15.jpg
1,truck,0.826055645942688,0.7500853538513184,0.8281348943710327,testA_v20.jpg
2,car,0.8000279068946838,0.8442996740341187,0.8601537346839905,testA_v19_ALTmodif_a1.00_b-35.00_g1.85.jpg
3,car,0.7694330215454102,0.8417007923126221,0.7755553126335144,testA_v5_ALTmodif_a1.00_b46.00_g1.85.jpg
4,car,0.534579336643219,0.534579336643219,0.5539653301239014,testA_v7_ALTmodif_a1.00_b19.00_g1.70.jpg
