Project Name: testB, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8801753520965576,testB_v0_ALTmodif_a1.00_b45.00_g1.00.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8610872030258179,testB_v0_ALTmodif_a1.00_b45.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8166230320930481,testB_v0_ALTmodif_a1.00_b45.00_g1.00.jpg
3,car,0.6834793090820312,0.6834793090820312,0.6958246827125549,testB_v0_ALTmodif_a1.00_b45.00_g1.00.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6833174824714661,testB_v0_ALTmodif_a1.00_b45.00_g1.00.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.6943846344947815,testB_v1_ALTmodif_a1.00_b-28.00_g1.00.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7005312442779541,testB_v2_ALTmodif_a1.00_b-30.00_g1.00.jpg
7,car,0.5898460745811462,0.5898460745811462,0.5934848189353943,testB_v5.jpg
8,car,,0.5450094938278198,,N/A
9,car,,0.5358414053916931,,N/A
10,car,,,0.5396447777748108,testB_v2_ALTmodif_a1.00_b-30.00_g1.00.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7406785562634468,
New Detections,,,2,1,
Number of Detections,,8,10,9,


Project Name: testB, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8766186833381653,testB_v0_ALTmodif_a1.00_b47.00_g1.00.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8637746572494507,testB_v2_ALTmodif_a1.00_b-51.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.827445387840271,testB_v2_ALTmodif_a1.00_b-51.00_g1.00.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7118242383003235,testB_v2_ALTmodif_a1.00_b-51.00_g1.00.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6840639114379883,testB_v0_ALTmodif_a1.00_b47.00_g1.00.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.6918807029724121,testB_v9_ALTmodif_a1.00_b-18.00_g1.00.jpg
6,car,0.6387391090393066,0.7586119174957275,0.6985675096511841,testB_v5_ALTmodif_a1.00_b-29.00_g1.00.jpg
7,car,0.5898460745811462,0.5898460745811462,0.5987998247146606,testB_v8_ALTmodif_a1.00_b15.00_g1.00.jpg
8,car,,0.5450094938278198,,N/A
9,car,,0.5358414053916931,,N/A
10,car,,,0.5344018340110779,testB_v5_ALTmodif_a1.00_b-29.00_g1.00.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.744121864438057,
New Detections,,,2,1,
Number of Detections,,8,10,9,


Project Name: testB, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8739829659461975,testB_v14_ALTmodif_a1.00_b36.00_g1.00.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8729862570762634,testB_v1_ALTmodif_a1.00_b-56.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.829173743724823,testB_v2_ALTmodif_a1.00_b-55.00_g1.00.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7231330275535583,testB_v1_ALTmodif_a1.00_b-56.00_g1.00.jpg
