Project Name: testB_BC, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8719062209129333,testB_v0_ALTmodif_a1.30_b-23.00_g1.00.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8670274615287781,testB_v0_ALTmodif_a1.30_b-23.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8146234750747681,testB_v2_ALTmodif_a1.15_b-34.00_g1.00.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7150923013687134,testB_v3_ALTmodif_a1.70_b-39.00_g1.00.jpg
4,car,0.6769974827766418,0.6769974827766418,0.7092785835266113,testB_v4_ALTmodif_a2.65_b42.00_g1.00.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.683761477470398,testB_v3_ALTmodif_a1.70_b-39.00_g1.00.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7160636782646179,testB_v2_ALTmodif_a1.15_b-34.00_g1.00.jpg
7,car,0.5898460745811462,0.5898460745811462,0.6155256032943726,testB_v4_ALTmodif_a2.65_b42.00_g1.00.jpg
8,Unknown,0,0.5358414053916931,0.5306493639945984,testB_v0_ALTmodif_a1.30_b-23.00_g1.00.jpg
9,car,,0.5450094938278198,,N/A
10,car,,,0.6730514764785767,testB_v4_ALTmodif_a2.65_b42.00_g1.00.jpg
11,person,,,0.577244222164154,testB_v4_ALTmodif_a2.65_b42.00_g1.00.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7491598501801491,
New Detections,,,1,2,
Number of Detections,,9,10,11,


Project Name: testB_BC, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8698464632034302,testB_v10.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8637915253639221,testB_v8_ALTmodif_a1.45_b27.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8135566115379333,testB_v10.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7034931778907776,testB_v0_ALTmodif_a1.40_b42.00_g1.00.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6961739659309387,testB_v9_ALTmodif_a1.35_b52.00_g1.00.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.6915260553359985,testB_v3_ALTmodif_a2.70_b-30.00_g1.00.jpg
6,car,0.6387391090393066,0.7586119174957275,0.63623046875,testB_v10.jpg
7,car,0.5898460745811462,0.5898460745811462,0.6178268194198608,testB_v1_ALTmodif_a2.00_b23.00_g1.00.jpg
8,Unknown,0,0.5358414053916931,0.5039731860160828,testB_v3_ALTmodif_a2.70_b-30.00_g1.00.jpg
9,car,,0.5450094938278198,,N/A
10,person,,,0.5557053089141846,testB_v4_ALTmodif_a2.15_b39.00_g1.00.jpg
11,car,,,0.5518859624862671,testB_v3_ALTmodif_a2.70_b-30.00_g1.00.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7365556359291077,
New Detections,,,1,2,
Number of Detections,,9,10,11,


Project Name: testB_BC, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8829777240753174,testB_v0_ALTmodif_a0.95_b50.00_g1.00.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8701490759849548,testB_v11_ALTmodif_a1.50_b-31.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8248112797737122,testB_v14_ALTmodif_a1.05_b-45.00_g1.00.jpg
3,car,0.6834793090820312,0.6834793090820312,0.717370867729187,testB_v10_ALTmodif_a1.85_b-27.00_g1.00.jpg
4,car,0.6769974827766418,0.6769974827766418,0.7117282152175903,testB_v2_ALTmodif_a1.65_b42.00_g1.00.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7049914598464966,testB_v14_ALTmodif_a1.05_b-45.00_g1.00.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7127551436424255,testB_v14_ALTmodif_a1.05_b-45.00_g1.00.jpg
7,car,0.5898460745811462,0.5898460745811462,0.6193206906318665,testB_v13_ALTmodif_a2.60_b36.00_g1.00.jpg
8,Unknown,0,0.5358414053916931,0.5400676131248474,testB_v10_ALTmodif_a1.85_b-27.00_g1.00.jpg
9,car,,0.5450094938278198,,N/A
10,car,,,0.6578420400619507,testB_v13_ALTmodif_a2.60_b36.00_g1.00.jpg
11,person,,,0.5749749541282654,testB_v12_ALTmodif_a2.55_b25.00_g1.00.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7555130571126938,
New Detections,,,1,2,
Number of Detections,,9,10,11,


Project Name: testB_BC, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8749123215675354,testB_v5_ALTmodif_a1.25_b-12.00_g1.00.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8674697875976562,testB_v14_ALTmodif_a1.40_b-2.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8406955599784851,testB_v16_ALTmodif_a1.20_b-60.00_g1.00.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7150028347969055,testB_v14_ALTmodif_a1.40_b-2.00_g1.00.jpg
4,car,0.6769974827766418,0.6769974827766418,0.699085533618927,testB_v19_ALTmodif_a0.85_b50.00_g1.00.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.6905947327613831,testB_v0_ALTmodif_a0.95_b-21.00_g1.00.jpg
