Project Name: testB, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8698464632034302,testB_v5.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8635347485542297,testB_v1_ALTmodif_a1.00_b25.00_g3.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8406638503074646,testB_v2_ALTmodif_a1.30_b-41.00_g3.05.jpg
3,car,0.6834793090820312,0.6834793090820312,0.6941644549369812,testB_v4_ALTmodif_a1.30_b43.00_g1.50.jpg
4,car,0.6769974827766418,0.6769974827766418,0.7107461094856262,testB_v4_ALTmodif_a1.30_b43.00_g1.50.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7263331413269043,testB_v3_ALTmodif_a2.65_b-20.00_g3.15.jpg
6,car,0.6387391090393066,0.7586119174957275,0.713259220123291,testB_v1_ALTmodif_a1.00_b25.00_g3.00.jpg
7,car,0.5898460745811462,0.5898460745811462,0.60236656665802,testB_v0_ALTmodif_a2.60_b-7.00_g1.00.jpg
8,Unknown,0,0.5358414053916931,0.5055258274078369,testB_v0_ALTmodif_a2.60_b-7.00_g1.00.jpg
9,car,,0.5450094938278198,,N/A
10,car,,,0.5700567364692688,testB_v3_ALTmodif_a2.65_b-20.00_g3.15.jpg
11,person,,,0.547927737236023,testB_v0_ALTmodif_a2.60_b-7.00_g1.00.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7526143193244934,
New Detections,,,1,2,
Number of Detections,,9,10,11,


Project Name: testB, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8698464632034302,testB_v10.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8726801872253418,testB_v4_ALTmodif_a1.20_b-3.00_g2.55.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8348322510719299,testB_v0_ALTmodif_a1.55_b-54.00_g2.65.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7008466720581055,testB_v4_ALTmodif_a1.20_b-3.00_g2.55.jpg
4,car,0.6769974827766418,0.6769974827766418,0.7480766773223877,testB_v8_ALTmodif_a1.65_b53.00_g0.70.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7177025675773621,testB_v5_ALTmodif_a2.30_b13.00_g2.30.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7836787104606628,testB_v9_ALTmodif_a1.25_b-6.00_g2.50.jpg
