Project Name: testB_C, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8698464632034302,testB_v5.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8663148283958435,testB_v4_ALTmodif_a1.35_b0.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.818112313747406,testB_v3_ALTmodif_a1.10_b0.00_g1.00.jpg
3,car,0.6834793090820312,0.6834793090820312,0.6973070502281189,testB_v4_ALTmodif_a1.35_b0.00_g1.00.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6830630302429199,testB_v4_ALTmodif_a1.35_b0.00_g1.00.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.6907263994216919,testB_v1_ALTmodif_a0.75_b0.00_g1.00.jpg
6,car,0.6387391090393066,0.7586119174957275,0.6595780253410339,testB_v3_ALTmodif_a1.10_b0.00_g1.00.jpg
7,car,0.5898460745811462,0.5898460745811462,0.6072717905044556,testB_v3_ALTmodif_a1.10_b0.00_g1.00.jpg
8,Unknown,0,0.5358414053916931,0.5016162395477295,testB_v0_ALTmodif_a2.20_b0.00_g1.00.jpg
9,car,,0.5450094938278198,,N/A
10,car,,,0.5211841464042664,testB_v0_ALTmodif_a2.20_b0.00_g1.00.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7365274876356125,
New Detections,,,1,1,
Number of Detections,,9,10,10,


Project Name: testB_C, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8707587122917175,testB_v7_ALTmodif_a1.15_b0.00_g1.00.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8639428615570068,testB_v3_ALTmodif_a1.45_b0.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8135566115379333,testB_v0_ALTmodif_a1.00_b0.00_g1.00.jpg
3,car,0.6834793090820312,0.6834793090820312,0.713077187538147,testB_v3_ALTmodif_a1.45_b0.00_g1.00.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6761548519134521,testB_v6_ALTmodif_a1.65_b0.00_g1.00.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.6908811926841736,testB_v3_ALTmodif_a1.45_b0.00_g1.00.jpg
6,car,0.6387391090393066,0.7586119174957275,0.63623046875,testB_v0_ALTmodif_a1.00_b0.00_g1.00.jpg
7,car,0.5898460745811462,0.5898460745811462,0.602828860282898,testB_v9_ALTmodif_a2.70_b0.00_g1.00.jpg
8,Unknown,0,0.5358414053916931,0.5104145407676697,testB_v4_ALTmodif_a2.75_b0.00_g1.00.jpg
9,car,,0.5450094938278198,,N/A
10,person,,,0.5708562135696411,testB_v9_ALTmodif_a2.70_b0.00_g1.00.jpg
11,car,,,0.5094483494758606,testB_v4_ALTmodif_a2.75_b0.00_g1.00.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.733428843319416,
New Detections,,,1,2,
Number of Detections,,9,10,11,


Project Name: testB_C, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8698464632034302,testB_v15.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8663148283958435,testB_v13_ALTmodif_a1.35_b0.00_g1.00.jpg
2,car,0.8143801093101501,0.8143801093101501,0.818112313747406,testB_v7_ALTmodif_a1.10_b0.00_g1.00.jpg
3,car,0.6834793090820312,0.6834793090820312,0.711513102054596,testB_v4_ALTmodif_a1.75_b0.00_g1.00.jpg
