Project Name: testB_G, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8707011342048645,testB_v3_ALTmodif_a1.00_b0.00_g1.85.jpg
1,car,0.8385376334190369,0.8555520176887512,0.849963366985321,testB_v3_ALTmodif_a1.00_b0.00_g1.85.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8334627151489258,testB_v1_ALTmodif_a1.00_b0.00_g2.70.jpg
3,car,0.6834793090820312,0.6834793090820312,0.6843023300170898,testB_v0_ALTmodif_a1.00_b0.00_g0.90.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6628998517990112,testB_v0_ALTmodif_a1.00_b0.00_g0.90.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7147412300109863,testB_v3_ALTmodif_a1.00_b0.00_g1.85.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7735478281974792,testB_v3_ALTmodif_a1.00_b0.00_g1.85.jpg
7,car,0.5898460745811462,0.5898460745811462,0.611544668674469,testB_v0_ALTmodif_a1.00_b0.00_g0.90.jpg
8,car,,0.5450094938278198,,N/A
9,car,,0.5358414053916931,,N/A
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7501453906297684,
New Detections,,,2.0,0,
Number of Detections,,8,10.0,8,


Project Name: testB_G, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8707011342048645,testB_v3_ALTmodif_a1.00_b0.00_g1.85.jpg
1,car,0.8385376334190369,0.8555520176887512,0.849963366985321,testB_v3_ALTmodif_a1.00_b0.00_g1.85.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8334627151489258,testB_v1_ALTmodif_a1.00_b0.00_g2.70.jpg
3,car,0.6834793090820312,0.6834793090820312,0.6843023300170898,testB_v0_ALTmodif_a1.00_b0.00_g0.90.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6628998517990112,testB_v0_ALTmodif_a1.00_b0.00_g0.90.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7147412300109863,testB_v3_ALTmodif_a1.00_b0.00_g1.85.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7735478281974792,testB_v3_ALTmodif_a1.00_b0.00_g1.85.jpg
7,car,0.5898460745811462,0.5898460745811462,0.611544668674469,testB_v0_ALTmodif_a1.00_b0.00_g0.90.jpg
8,car,,0.5450094938278198,,N/A
9,car,,0.5358414053916931,,N/A
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7501453906297684,
New Detections,,,2.0,0,
