Project Name: testA_B_simulated, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8611048460006714,testA_v3_ALTmodif_a1.00_b7.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.7874772548675537,testA_v0_ALTmodif_a1.00_b-34.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7347489595413208,testA_v3_ALTmodif_a1.00_b7.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v5.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6234533786773682,testA_v5.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5846334099769592,testA_v5.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v5.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6786094052450997,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_B_simulated, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8639700412750244,testA_v6_ALTmodif_a1.00_b-30.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8183919191360474,testA_v5_ALTmodif_a1.00_b35.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7573410868644714,testA_v1_ALTmodif_a1.00_b-10.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v10.jpg
4,car,0.6234533786773682,0.7389949560165405,0.7015405297279358,testA_v0_ALTmodif_a1.00_b-19.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5950964689254761,testA_v1_ALTmodif_a1.00_b-10.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5164428353309631,testA_v8_ALTmodif_a1.00_b-18.00_g1.00.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7005324959754944,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_B_simulated, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
