Project Name: testA_BCG_simulated, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8567360639572144,testA_v5.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8567360639572144,testA_v5.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8169844150543213,testA_v2_ALTmodif_a1.00_b59.00_g2.20.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v5.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6234533786773682,testA_v5.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5846334099769592,testA_v5.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v5.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.699627331324986,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BCG_simulated, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8567360639572144,testA_v10.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.6822475790977478,testA_v6_ALTmodif_a1.95_b-52.00_g2.25.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8352346420288086,testA_v0_ALTmodif_a1.15_b56.00_g2.40.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v10.jpg
4,car,0.6234533786773682,0.7389949560165405,0.633826732635498,testA_v3_ALTmodif_a1.00_b-2.00_g1.05.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5846334099769592,testA_v10.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v10.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6787894879068647,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BCG_simulated, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8567360639572144,testA_v15.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.7184063196182251,testA_v7_ALTmodif_a1.90_b-38.00_g2.70.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8108599185943604,testA_v6_ALTmodif_a1.20_b42.00_g2.95.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6694566011428833,testA_v10_ALTmodif_a0.90_b11.00_g0.70.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6419240832328796,testA_v1_ALTmodif_a0.90_b4.00_g1.70.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5888150334358215,testA_v13_ALTmodif_a0.75_b12.00_g2.60.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.529371976852417,testA_v11_ALTmodif_a1.60_b-29.00_g1.45.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6879385709762573,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BCG_simulated, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8597025871276855,testA_v12_ALTmodif_a0.95_b30.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8205347061157227,testA_v12_ALTmodif_a0.95_b30.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8375158905982971,testA_v2_ALTmodif_a1.30_b27.00_g1.90.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7776637673377991,testA_v4_ALTmodif_a2.60_b53.00_g1.70.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6294227838516235,testA_v12_ALTmodif_a0.95_b30.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.6031730771064758,testA_v16_ALTmodif_a2.00_b-2.00_g0.90.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5486543774604797,testA_v2_ALTmodif_a1.30_b27.00_g1.90.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7252381699425834,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BCG_simulated, N: 25
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8661699891090393,testA_v24_ALTmodif_a1.20_b5.00_g1.20.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.792758047580719,testA_v17_ALTmodif_a1.25_b-36.00_g0.55.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8305273056030273,testA_v7_ALTmodif_a1.35_b-7.00_g1.35.jpg
3,car,0.6509445905685425,0.6509445905685425,0.791293740272522,testA_v18_ALTmodif_a2.75_b37.00_g0.80.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6591800451278687,testA_v7_ALTmodif_a1.35_b-7.00_g1.35.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5944252610206604,testA_v7_ALTmodif_a1.35_b-7.00_g1.35.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v25.jpg
7,car,,,0.5138071179389954,testA_v4_ALTmodif_a1.85_b-45.00_g2.80.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7203225408281598,
New Detections,,,0,1.0,
Number of Detections,,7,7,8.0,


Project Name: testA_BCG_simulated, N: 30
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8655726313591003,testA_v3_ALTmodif_a1.25_b-10.00_g0.75.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8655726313591003,testA_v3_ALTmodif_a1.25_b-10.00_g0.75.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7951611280441284,testA_v3_ALTmodif_a1.25_b-10.00_g0.75.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7568238377571106,testA_v22_ALTmodif_a2.20_b16.00_g0.70.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6573405861854553,testA_v11_ALTmodif_a0.80_b59.00_g3.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.586137056350708,testA_v1_ALTmodif_a2.05_b28.00_g1.25.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v30.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7192158954484122,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BCG_simulated, N: 35
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8597509264945984,testA_v21_ALTmodif_a0.90_b42.00_g1.50.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8263683319091797,testA_v15_ALTmodif_a1.10_b26.00_g0.55.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7901308536529541,testA_v29_ALTmodif_a1.20_b7.00_g1.20.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7415281534194946,testA_v11_ALTmodif_a2.15_b59.00_g1.25.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6396920680999756,testA_v15_ALTmodif_a1.10_b26.00_g0.55.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5893930792808533,testA_v29_ALTmodif_a1.20_b7.00_g1.20.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v35.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7078238299914769,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_BCG_simulated, N: 40
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8588471412658691,testA_v37_ALTmodif_a0.90_b25.00_g1.30.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.831922709941864,testA_v25_ALTmodif_a1.10_b56.00_g0.65.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8193537592887878,testA_v33_ALTmodif_a1.35_b12.00_g1.05.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7668364644050598,testA_v24_ALTmodif_a2.70_b31.00_g1.95.jpg
4,car,0.6234533786773682,0.7389949560165405,0.7078971266746521,testA_v10_ALTmodif_a0.80_b17.00_g2.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5883954167366028,testA_v21_ALTmodif_a2.60_b-32.00_g0.65.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5117733478546143,testA_v37_ALTmodif_a0.90_b25.00_g1.30.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7264322808810643,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,
