Project Name: testA_C_simulated, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.864334225654602,testA_v3_ALTmodif_a1.15_b0.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.864334225654602,testA_v3_ALTmodif_a1.15_b0.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8133979439735413,testA_v4_ALTmodif_a1.35_b0.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7766906023025513,testA_v2_ALTmodif_a2.45_b0.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6561281085014343,testA_v3_ALTmodif_a1.15_b0.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5926868915557861,testA_v0_ALTmodif_a1.20_b0.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v5.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7250679135322571,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_C_simulated, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8567360639572144,testA_v10.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8567360639572144,testA_v10.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8133979439735413,testA_v7_ALTmodif_a1.35_b0.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7437902092933655,testA_v1_ALTmodif_a2.70_b0.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.650226354598999,testA_v6_ALTmodif_a1.25_b0.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.59928959608078,testA_v5_ALTmodif_a1.50_b0.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v10.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7182970898491996,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_C_simulated, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8613625764846802,testA_v10_ALTmodif_a1.20_b0.00_g1.00.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8613625764846802,testA_v10_ALTmodif_a1.20_b0.00_g1.00.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7928870916366577,testA_v8_ALTmodif_a1.40_b0.00_g1.00.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7279954552650452,testA_v8_ALTmodif_a1.40_b0.00_g1.00.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6273173689842224,testA_v10_ALTmodif_a1.20_b0.00_g1.00.jpg
5,car,0.5846334099769592,0.6206891536712646,0.6159312725067139,testA_v2_ALTmodif_a2.05_b0.00_g1.00.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v15.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7135371054921832,
