Project Name: testA_CG_simulated, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8671148419380188,testA_v2_ALTmodif_a1.70_b0.00_g0.60.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8671148419380188,testA_v2_ALTmodif_a1.70_b0.00_g0.60.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7365407347679138,testA_v0_ALTmodif_a1.75_b0.00_g1.40.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v5.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6234533786773682,testA_v5.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5846334099769592,testA_v5.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v5.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6911007421357291,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_CG_simulated, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8660898804664612,testA_v4_ALTmodif_a0.95_b0.00_g0.95.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.671703577041626,testA_v9_ALTmodif_a1.45_b0.00_g3.10.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7664452791213989,testA_v2_ALTmodif_a1.35_b0.00_g2.30.jpg
3,car,0.6509445905685425,0.6509445905685425,0.719942569732666,testA_v0_ALTmodif_a2.30_b0.00_g0.60.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6374776363372803,testA_v4_ALTmodif_a0.95_b0.00_g0.95.jpg
5,car,0.5846334099769592,0.6206891536712646,0.6030662655830383,testA_v7_ALTmodif_a1.95_b0.00_g0.80.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5141944885253906,testA_v4_ALTmodif_a0.95_b0.00_g0.95.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.6827028138296944,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_CG_simulated, N: 15
