Project Name: testB_BCG_simulated, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.6503384709358215,0.6738434433937073,0.6503795981407166,testB_v5.jpg
1,car,0.6366575956344604,0.6366575956344604,0.6371333003044128,testB_v5.jpg
2,car,0.5884009599685669,0.5884009599685669,0.5883864164352417,testB_v5.jpg
Mean Confidence,,0.6251323421796163,0.6329673329989115,0.6252997716267904,
New Detections,,,0.0,0.0,
Number of Detections,,3,3.0,3.0,


Project Name: testB_BCG_simulated, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.6503384709358215,0.6738434433937073,0.6503795981407166,testB_v10.jpg
1,car,0.6366575956344604,0.6366575956344604,0.7062994241714478,testB_v7_ALTmodif_a1.40_b-50.00_g1.00.jpg
2,car,0.5884009599685669,0.5884009599685669,0.6804515719413757,testB_v7_ALTmodif_a1.40_b-50.00_g1.00.jpg
3,car,,,0.5210853815078735,testB_v7_ALTmodif_a1.40_b-50.00_g1.00.jpg
4,car,,,0.500572919845581,testB_v7_ALTmodif_a1.40_b-50.00_g1.00.jpg
Mean Confidence,,0.6251323421796163,0.6329673329989115,0.6790435314178467,
New Detections,,,0,2.0,
Number of Detections,,3,3,5.0,


Project Name: testB_BCG_simulated, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.6503384709358215,0.6738434433937073,0.6503795981407166,testB_v15.jpg
1,car,0.6366575956344604,0.6366575956344604,0.6660472750663757,testB_v3_ALTmodif_a1.45_b-3.00_g1.40.jpg
2,car,0.5884009599685669,0.5884009599685669,0.6873267292976379,testB_v1_ALTmodif_a1.45_b-23.00_g0.70.jpg
3,car,,,0.5439550280570984,testB_v5_ALTmodif_a0.80_b-26.00_g1.05.jpg
Mean Confidence,,0.6251323421796163,0.6329673329989115,0.6679178675015768,
New Detections,,,0,1.0,
Number of Detections,,3,3,4.0,


Project Name: testB_BCG_simulated, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.6503384709358215,0.6738434433937073,0.6503795981407166,testB_v20.jpg
1,car,0.6366575956344604,0.6366575956344604,0.6914786100387573,testB_v1_ALTmodif_a1.80_b-36.00_g0.80.jpg
2,car,0.5884009599685669,0.5884009599685669,0.7135023474693298,testB_v1_ALTmodif_a1.80_b-36.00_g0.80.jpg
3,car,,,0.5181566476821899,testB_v13_ALTmodif_a1.55_b11.00_g1.65.jpg
Mean Confidence,,0.6251323421796163,0.6329673329989115,0.6851201852162679,
New Detections,,,0,1.0,
Number of Detections,,3,3,4.0,


Project Name: testB_BCG_simulated, N: 25
